# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       1.549        0.000       47.625      299.105
       1.557        0.000       47.625      299.105
       1.567        0.000       47.625      299.105
       1.576        0.000       47.625      299.105
       1.584        0.000       47.625      299.105
       1.592      130.100       47.625      299.355
       1.599      137.600       47.625      299.484
       1.607        0.000       47.883      299.484
       1.615        0.000       47.883      299.484
       1.622        0.000       47.883      299.484
       1.630        0.000       47.883      299.484
       1.637        0.000       47.883      299.484
       1.644        0.000       48.141      299.875
       1.652        0.000       48.141      299.875
       1.662        0.000       48.398      299.875
       1.670        0.000       48.398      299.875
       1.677        0.000       48.398      299.875
       1.684        0.000       48.398      299.875
       1.691      140.700       48.656      300.125
       1.699        0.000       48.656      300.375
       1.706        0.000       48.656      300.375
       1.715        0.000       48.656      300.555
       1.725        0.000       48.656      300.555
       1.735       94.400       49.945      301.539
       1.746       91.200       50.461      302.039
       1.757       92.000       50.461      302.039
       1.768        0.000       50.461      302.039
       1.778       92.900       50.461      302.039
       1.790       83.900       50.461      302.039
       1.801       72.700       50.461      302.039
       1.814        0.000       50.977      302.418
       1.827       76.200       50.977      302.668
       1.836        0.000       50.977      302.668
       1.843        0.000       50.977      302.668
       1.851        0.000       50.977      302.668
       1.859      130.600       50.977      302.797
       1.867        0.000       50.977      302.797
       1.874        0.000       51.234      302.797
       1.884        0.000       51.234      302.797
       1.892        0.000       51.234      303.047
       1.899        0.000       51.234      303.047
       1.906        0.000       51.234      303.047
       1.913        0.000       51.492      303.250
       1.920        0.000       52.008      303.500
       1.928        0.000       52.008      303.500
       1.936      125.100       53.008      307.348
       1.944        0.000       53.008      307.348
       1.952        0.000       53.316      307.730
       1.960      126.700       53.574      307.879
       1.967        0.000       53.574      307.879
       1.975        0.000       53.715      310.895
       1.983        0.000       53.719      310.895
       1.990        0.000       53.719      310.895
       1.998        0.000       53.719      310.895
       2.005        0.000       53.719      310.895
       2.013        0.000       53.719      310.895
       2.020        0.000       53.719      310.895
       2.027        0.000       53.719      310.895
       2.035        0.000       54.051      312.977
       2.043        0.000       54.051      312.977
       2.050        0.000       54.051      312.977
       2.058      136.500       54.473      313.105
       2.066      122.600       54.473      313.105
       2.073      140.800       54.473      313.234
       2.081        0.000       54.730      313.484
       2.087        0.000       54.730      313.484
       2.094        0.000       54.730      313.484
       2.101        0.000       54.730      313.484
       2.108        0.000       54.988      313.641
       2.115      134.700       54.988      313.891
       2.123      140.600       55.211      316.156
       2.129        0.000       55.211      316.156
       2.136        0.000       55.211      316.156
       2.144        0.000       55.484      318.398
       2.151        0.000       55.484      318.398
       2.159        0.000       55.484      318.398
       2.166        0.000       55.484      318.398
       2.176      102.000       55.824      318.527
       2.185        0.000       55.824      318.777
       2.193      124.200       55.824      318.777
       2.200        0.000       55.824      318.777
       2.207        0.000       55.824      318.777
       2.215        0.000       55.824      318.926
       2.221        0.000       55.824      318.926
